Company Name,HQ Location,Industry,Headcount,Revenue,Offers Construction Admin,CA Management Tools,Construction Litigation,Project Focus Types,Open Job Titles and Dates,,
4240 Architecture,Find contacts,"Denver, Colorado, United States",Architecture & Planning,11-50,$25M-$50M,Unclear,Research with AI,Yes – lawsuits in 2024; see BusinessDen and Denver District Court dockets.,Research with AI,No current CA/QA/QC/tech openings found; no construction admin jobs listed.,
Rosehill Gardens,Find contacts,"Kansas City, Missouri, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"No CA/QA/QC/tech or construction admin roles; only Irrigation Installers & Service Technicians, and Landscape Maintenance Mow Crew Drivers & Laborers,",
Dorsky Yue International,Find contacts,"Fort Lauderdale, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Services list includes “Schematic Design through Construction Administration.”,Research with AI,None found,Research with AI,"Yes – hiring Construction Administrator (Fort Lauderdale) per careers page, active as of Oct 2025.",
Bruner/Cott,Find contacts,"Boston, Massachusetts, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,"UMass v. Bruner/Cott et al., ductwork failure suit filed Nov 30, 2020; no newer cases found.",Research with AI,No current CA/QA/QC/documentation/technology or construction admin jobs found.,
FOX Architects,Find contacts,"Washington, District Of Columbia, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Only “Project Designer II – Interiors & Landlord Strategies” (no CA/QA/QC/tech); posted on FOX Architects careers page, date not specified.",
Bonstra l Haresign ARCHITECTS,Find contacts,"Washington, District Of Columbia, United States",Architecture & Planning,11-50,$10M-$25M,Yes - site says they provide closely managed project and construction administration.,Research with AI,None found,Research with AI,No construction admin/CA-specific roles; only architect/design roles listed.,
Graham Baba Architects,Find contacts,"Seattle, Washington, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No CA/QA/QC/tech construction admin roles; only a Controller opening found.,
Wilkus Architects,Find contacts,"Minnetonka, Minnesota, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their capabilities page lists “CONSTRUCTION ADMINISTRATION” as a follow-up service.,Research with AI,None found,Research with AI,"Designer (full-time), posted on Wilkus Architects careers page (listed under “New Career Postings”; posting live as of early Jan 2026). No CA/QA/QC or",
ABA Architects Inc.,Find contacts,"Waterloo, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - Their interiors services include “construction management and completion of the work.”,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings found for ABA Architects Inc.,
"Pro Engineering Consulting, Inc",Find contacts,"Carlsbad, California, United States",Architecture & Planning,11-50,$1M-$10M,Yes - Their mechanical services include support through construction management and project lifecycle.,Research with AI,None found,Research with AI,No current CA/QA/QC/doc/tech openings found on LinkedIn or proengc.com,
Studio JCI,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - Staff bios note involvement through construction administration phases,Research with AI,None found,Research with AI,No current CA/QA/QC/tech construction admin roles found.,
Sympateco's KüL Factory,Find contacts,"Omaha, Nebraska, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin jobs found.,
Maugel DeStefano Architects,Find contacts,"Harvard, Massachusetts, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their Architectural Services list includes “Construction Administration.”,Research with AI,None found,Research with AI,No CA/QA/QC roles; careers page lists Architect/Project Manager and Architectural Designer (dates not shown).,
Studio Libeskind,Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - project bios note staff handle “construction administration” and “CA, and field observation.”",Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles found.,
"RdlR Architects, Inc.",Find contacts,"Houston, Texas, United States",Architecture & Planning,11-50,$10M-$25M,Yes - job description lists “Construction Administration” among project architect responsibilities,Research with AI,None found,Research with AI,Yes. Current role: Project Architect (includes construction administration) – listed on RDLR careers page; no separate CA/QA/QC/documentation tech job,
Laguarda.Low Architects,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – roles include Project Designer, Designer, Graphic Designer/Marketing Coordinator (no CA/QA/QC-specific titles).",
STOA Architects - Pensacola & Panama City,Find contacts,"Pensacola, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Yes - PropJump services list includes “Construction administration.”,Research with AI,"Yes – one federal Miller Act payment claim filed June 7, 2024.",Research with AI,"Yes. “Project Architects, Licensed or licensure track” – listed Jan 12, 2026.",
JMA,Find contacts,"Las Vegas, Nevada, United States",Architecture & Planning,11-50,$100M-$250M,Yes - Michael Baker’s JMA Architecture provides “architectural design and construction administration services.”,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech construction admin roles found for JMA.,
Olympia Steel Buildings,Find contacts,"Mckees Rocks, Pennsylvania, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,Multiple customer complaints but no clear record of court litigation found,Research with AI,No CA/QA/QC/documentation/tech admin roles; only Sales Consultant jobs (posted 30+ days ago).,
Reed Hilderbrand LLC Landscape Architecture,Find contacts,"Cambridge, Massachusetts, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,Yes. Active openings but none explicitly labeled construction admin roles.,
Cole Architects,Find contacts,"Boise, Idaho, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,"Cole Architects filed a breach-of-contract suit vs RSI Construction on Jan 24, 2025",Research with AI,No current CA/QA/QC/technology or construction admin roles found.,
Woodhull,Find contacts,"Portland, Maine, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; only a Summer 2026 studio internship planned.,
NSDA Architects,Find contacts,"Vancouver, British Columbia, Canada",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No CA/QA/QC/tech roles; only Communications & Proposal Coordinator (posted ~Dec 2025).,
Silver Petrucelli + Associates,Find contacts,"Hamden, Connecticut, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their story notes a dedicated construction administration (CA) division.,Research with AI,Yes – at least one active construction-related lawsuit found.,Research with AI,No current CA/QA/QC/tech construction-admin roles found.,
Hoedemaker Pfeiffer,Find contacts,"Seattle, Washington, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,Yes – hiring for “Associate – Architecture” (posted ~19 days ago; includes Construction Administration).,
Breen Design Group,Find contacts,"Torrance, California, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Architecture services list includes “Construction Administration.”,Research with AI,None found,Research with AI,"Yes. Roles include Architectural Job Captain (posted on careers page, date not listed).",
Gravity Architecture,Find contacts,"Calgary, Alberta, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - Their services page lists a dedicated “Construction Administration” phase and support.,Research with AI,None found,Research with AI,"Yes. Examples: Construction Contract Administration Assistant (news post, Apr 25 2023); Intermediate Architectural Technologist (Calgary/Vancouver, on",
MMP Architects,Find contacts,"Winnipeg, Manitoba, Canada",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
LUSEO Engineering,Find contacts,"Coral Gables, Florida, United States",Architecture & Planning,11-50,$1M-$10M,Yes - Services page lists “Construction administration and project oversight.”,Research with AI,None found,Research with AI,"Only non-CA construction admin-related role: “Ingeniero mecánico,” Medellín, posted ~2 years ago.",
"ADM Group, Inc.",Find contacts,"Tempe, Arizona, United States",Architecture & Planning,11-50,$50M-$100M,Unclear,Research with AI,None found,Research with AI,Yes. Example: “Licensed Project Architect–Commercial/Project Manager” (posted ~Dec 2025).,
DJR,Find contacts,"Minneapolis, Minnesota, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Interiors page notes support from concept through construction administration,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
Nequette Architecture & Design,Find contacts,"Birmingham, Alabama, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – Architect/Project Manager (posted Dec 2025) and Architectural Graduate (posted Jan 15, 2026).",
ZDS,Find contacts,"Providence, Rhode Island, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Architecture services page lists “Construction Administration” as a phase.,Research with AI,"ZDS, Inc. v. J and H Hospitality LLC – contract suit filed Apr 7, 2021 (Law360).",Research with AI,No current construction admin/CA/QA/QC tech jobs found at ZDS.,
STUDIO T-SQ,Find contacts,"Oakland, California, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current construction admin job postings found,
"Think Architecture, Inc.",Find contacts,"Salt Lake City, Utah, United States",Architecture & Planning,11-50,$10M-$25M,Yes - services list includes “construction administration” and a construction management division,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech job postings found,
Allied Works,Find contacts,"Portland, Oregon, United States",Architecture & Planning,11-50,$10M-$25M,Yes - they state they will continue to provide Construction Administration services for the U.S. Embassy Maputo project.,Research with AI,None found,Research with AI,"Yes. Roles: Junior Designer (Portland) – listed Jan 27, 2026; Project Architect (Portland) – listed Jan 27, 2026.",
Hensley Lamkin Rachel Inc,Find contacts,"Plano, Texas, United States",Architecture & Planning,51-200,$10M-$25M,"Yes - staff titles include “Construction Administrator,” indicating they provide construction administration services.",Research with AI,None found,Research with AI,"Only listed role: Team Leader – Construction Admin focus not specified (posted on HLR site, no CA/QA/QC/tech-specific construction admin jobs on 1/28/",
QA+M Architecture,Find contacts,"Farmington, Connecticut, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - QA+M is a full-service architectural firm, which typically includes construction administration.",Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech roles; no construction admin jobs listed.,
Lowney Architecture,Find contacts,"Oakland, California, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - job postings note staff “support construction administration (RFIs, submittals, field coordination)”",Research with AI,None found,Research with AI,"Yes – e.g., “Architecture Job Captain – Oakland” (posted ~2 weeks ago on LinkedIn).",
Cumulus Architects Inc.,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,"Yes - Careers page advertises a Construction Administrator role handling full contract admin from tender to project closeout, implying in-house CA सेव",Research with AI,None found,Research with AI,Yes. “Construction Administrator” (posting date not listed on site).,
Kimiko Designs,Find contacts,"Houston, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Yes - Their specification services list includes “construction administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech construction admin roles posted.,
Roderick Lahey Architects,Find contacts,"Ottawa, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - their expertise includes contract administration and construction review.,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/technology jobs; only general Architect/Intern Architect/Technologist roles with no dates listed.,
Janet Rosenberg & Studio,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,11-50,$25M-$50M,Yes - website says they provide services through construction documents and contract administration,Research with AI,None found,Research with AI,No current CA/QA/QC/tech jobs; no construction admin roles listed.,
P+R Architects,Find contacts,"Long Beach, California, United States",Architecture & Planning,51-200,$25M-$50M,Yes - RDC (successor to P+R) lists “all stages of construction documentation and construction administration” as core services.,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin jobs found.,
Coburn,Find contacts,"Boulder, Colorado, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – “Full Time Architectural Staff/Job Captain” (focus option in Construction Administration), posted as “continuous until filled” (active as of Jan",
"Design West Architects, P.A.",Find contacts,"Meridian, Idaho, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; only Architect III (11/10/2025),
PIVOT Architecture,Find contacts,"Eugene, Oregon, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Eugene Chamber listing says they offer “comprehensive construction administrative services.”,Research with AI,"Yes – sued January 2, 2026 by Eugene Family YMCA over alleged defects at new campus.",Research with AI,No current CA/QA/QC/tech or construction admin jobs listed.,
The Siebenthaler Company,Find contacts,"Centerville, Ohio, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No relevant construction admin roles currently listed.,
Pinnacle Design,Find contacts,"Phoenix, Arizona, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No relevant CA/QA/QC/documentation/tech construction admin jobs found,
Behar + Peteranecz Architecture,Find contacts,"St. Petersburg, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – LinkedIn shows active roles incl. Front Desk/Admin Associate (2w ago) and Controller (3w ago), but no explicit CA/QA/QC/construction-admin posts",
Identity Architects,Find contacts,"Houston, Texas, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - identityBUILT notes its founder led Identity Architects’ construction administration services for 10+ years, indicating they offer CA services.",Research with AI,None found,Research with AI,No current CA/QA/QC/doc/tech openings found; no construction admin roles listed.,
"MODIS Architects, LLC",Find contacts,"Miami, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,"Yes – HCPI/Tennessee, LLC v. Modis Architects, LLC et al (breach of contract, construction dispute), filed Mar 15, 2023 and related case refiled Jul",Research with AI,No current CA/QA/QC/tech or construction admin jobs found.,
"Bearwood Concepts, Inc.",Find contacts,"Tulsa, Oklahoma, United States",Architecture & Planning,51-200,$10M-$25M,No,Research with AI,None found,Research with AI,"Yes. Engineer/Drafter – job posted on Indeed (date not shown, live as of Jan 2026).",
"Johnson, Laschober & Associates, P.C.",Find contacts,"Augusta, Georgia, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Services pages list “construction contract administration” and “construction administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin roles found.,
"Synthesis Architects, LLP",Find contacts,"Schenectady, New York, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Project descriptions note “assisted with construction oversight” on projects.,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; only a general “future opportunities” careers page.,
GUNN Consultants Inc.,Find contacts,"Vancouver, British Columbia, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - Services page lists “construction administration” for new construction.,Research with AI,None found,Research with AI,Technical Delivery Coordinator – job archive; posting ~Aug 2025 (no current CA/QA roles).,
SDA Lighting & Controls,Find contacts,"Long Island City, New York, United States",Architecture & Planning,11-50,$25M-$50M,No,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin roles found.,
Dietz & Company Architects,Find contacts,"Springfield, Massachusetts, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; no construction admin job posts found.,
Earthship Biotecture,Find contacts,"Carson, California, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No CA/QA/QC/tech construction admin jobs found for Earthship Biotecture.,
"Samaha Associates, PC",Find contacts,"Fairfax, Virginia, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their services list includes full construction administration and observation.,Research with AI,"Yes – DC Water v. Samaha Associates, PC (D. Md. 8:23‑cv‑01328), filed May 19, 2023.",Research with AI,"Unknown – no Samaha Associates, PC construction admin-related openings found.",
BRERETON,Find contacts,"San Francisco, California, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Job Captain role explicitly lists “Construction Administration” among duties.,Research with AI,None found,Research with AI,"Yes – Job Captain (Architectural + Interiors), posting live as of late 2025 (ongoing).",
MV+A Architects,Find contacts,"Washington, District Of Columbia, United States",Architecture & Planning,11-50,$10M-$25M,Yes - job posting notes experience in construction administration for projects,Research with AI,None found,Research with AI,No current CA/QA/QC/admin construction roles found.,
COHESIO Architecture,Find contacts,"Montréal, Quebec, Canada",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech/CA roles found for COHESIO Architecture.,
"Webber + Studio, Architects",Find contacts,"Austin, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Yes - FAQ lists construction administration as one of five basic project phases.,Research with AI,None found,Research with AI,No current CA/QA/QC/tech construction admin jobs found.,
Adaptive Property Solutions,Find contacts,"Gainesville, Virginia, United States",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech openings found for APS.,
Spacefinish,Find contacts,"New York, United States",Architecture & Planning,11-50,$0-$1M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/construction admin roles; no relevant openings listed.,
MCF Architecture,Find contacts,"Pittsburgh, Pennsylvania, United States",Architecture & Planning,11-50,$10M-$25M,Yes - their Healthcare Studio lists “construction administration” among services,Research with AI,None found,Research with AI,"Healthcare Architect/Planner (posted by Jan 22–24, 2026); Architectural Designer III (posted by Jan 24–26, 2026).",
Corradi USA,Find contacts,"Carrollton, Texas, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,"Solferini v. Corradi USA, Inc., internal finance dispute (2018–2021); none construction‑related",Research with AI,No current Corradi USA construction admin-related openings found.,
Lothrop Associates Architects,Find contacts,"White Plains, New York, United States",Architecture & Planning,11-50,$10M-$25M,Yes - services page lists “Construction Administration” under Extended Services,Research with AI,None found,Research with AI,"Yes – hiring Project Architects (construction documents focus), posted on careers page; no CA/QA/QC-specific roles found.",
Generator Studio,Find contacts,"Kansas City, Missouri, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,Yes – involved as a defendant in City of Minneapolis v. Leo A. Daly et al. (Target Center ice sheet),Research with AI,No current CA/QA/QC/document control roles; only Architectural Associate – Entry Level and Design Intern roles listed (no construction admin titles).,
GRANOFF ARCHITECTS,Find contacts,"Greenwich, Connecticut, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech job postings found.,
Bestor Architecture,Find contacts,"Los Angeles, California, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,Yes – Mid-Level Designer (3–5 yrs) – active on Archinect as of Dec 2025; no CA/QA/QC-specific roles found.,
Gabellini Sheppard Associates,Find contacts,"New York, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"No relevant CA/QA/QC/tech construction admin roles found as of Jan 28, 2026.",
incite Design Studio,Find contacts,"Kansas City, Missouri, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No relevant CA/QA/QC/tech openings found on LinkedIn or careers page.,
RHODES+BRITO ARCHITECTS INC,Find contacts,"Orlando, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Yes - their listed services include construction administration.,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; only “Proposal Coordinator Marketing – Architectural” on LinkedIn (posted ~2 weeks ago).,
Town & Gardens Ltd.,Find contacts,"Long Island City, New York, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes. Example: Design Assistant – posted Jan 14, 2026 (construction admin-focused).",
Webb Foodservice Design,Find contacts,"Anaheim, California, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their service list explicitly includes “construction administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
Lenity Architecture,Find contacts,"Salem, Oregon, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Services list includes “Construction Administration” under Architectural Design.,Research with AI,None found,Research with AI,"Yes – hiring CAD Specialist II, CAD Specialist III, and Architect II (posted by 1/7/2026).",
Matern Professional Engineering,Find contacts,"Maitland, Florida, United States",Architecture & Planning,51-200,$10M-$25M,Yes - Their Project Management services list “Construction Administration.”,Research with AI,None found,Research with AI,Only an Electrical Engineer (PE) role; no CA/QA/QC/documentation jobs found.,
"Mark P. Finlay Architects, AIA",Find contacts,"Southport, Connecticut, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No relevant openings; no CA/QA/QC/documentation/tech or construction admin jobs posted.,
Davidson Architecture & Engineering,Find contacts,"Overland Park, Kansas, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,They’re hiring a Civil Engineering EIT; no CA/QA/QC/documentation tech roles listed.,
DXA Studio,Find contacts,"New York, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,DXA Studio filed a federal copyright suit in 2023; no construction/contractor disputes found.,Research with AI,"Yes. Roles include Junior Designer, Intermediate Designer, Junior Interior Designer, 3D Architectural Visualization Designer (latest posted Nov 3, 202",
PZS Architects,Find contacts,"Philadelphia, Pennsylvania, United States",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings found for PZS Architects.,
Above Green,Find contacts,"District Of Columbia, United States",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,"Yes – careers page lists roles like Sustainability Consultant (rolling, no recent CA-specific posts).",
Ciccozzi Architecture Inc.,Find contacts,"Vancouver, British Columbia, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - Crunchbase notes they offer residential and construction administration services.,Research with AI,None found,Research with AI,No relevant construction admin roles found; no CA/QA/QC/doc/tech jobs listed.,
"Newco Design-Build, L.L.C.",Find contacts,"Le Grand, Iowa, United States",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; careers page lists no open positions.,
Richard Beard Architects,Find contacts,"San Francisco, California, United States",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,"No current CA/QA/QC/tech roles; latest is Project Manager (Jan 5, 2026).",
Group 161,Find contacts,"Richmond, British Columbia, Canada",Architecture & Planning,51-200,$1M-$10M,Unclear,Research with AI,None found,Research with AI,"Yes – hiring an Accountant (Richmond, BC); job posted on Indeed around Jan 2026.",
The Workun Garrick Partnership,Find contacts,"Edmonton, Alberta, Canada",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No relevant CA/QA/QC/documentation/technology job postings found.,
"KJG Architecture, Inc.",Find contacts,"Lafayette, Indiana, United States",Architecture & Planning,11-50,$100M-$250M,"Yes – project descriptions note KJG ""assist in the bidding and construction administration"" for projects.",Research with AI,"LPC Surgery Center LLC v. KJG Architecture Inc. (Indiana Court of Appeals, Sept 21, 2021) alleging defective design and negligence; no additional 2022",Research with AI,No relevant CA/QA/QC/tech construction admin jobs found.,
Kraemer Design Group,Find contacts,"Detroit, Michigan, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,Yes – lawsuit over unpaid Leland Hotel design fees filed Oct 2022; no other cases found,Research with AI,No current CA/QA/QC/documentation/tech job postings found.,
Mirador Group,Find contacts,"Bellaire, Texas, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"No relevant construction admin roles found as of Jan 28, 2026.",
TLCD Architecture,Find contacts,"Santa Rosa, California, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No relevant CA/QA/QC/tech construction admin roles currently posted.,
Architecture Design Collaborative,Find contacts,"Laguna Hills, California, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their services list under Project/Construction Management includes Construction Administration.,Research with AI,None found,Research with AI,"Yes. Job Captain II (or Senior Job Captain) – posting live as of Jan 28, 2026.",
"SMA Architecture + Design, P.C.",Find contacts,"Helena, Montana, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their about page says services run from project inception through construction administration.,Research with AI,None found,Research with AI,"Yes. 1 role: “Architectural Graduate” (Bozeman, MT) – job post live as of Dec 2025.",
Architects Alaska,Find contacts,"Anchorage, Alaska, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,"BBFM Engineers, Inc. and Architects Alaska, Inc. v. Eric McDonald – negligence claim over high school renovation injury; Alaska Supreme Court decision",Research with AI,No current CA/QA/QC/technology openings; no construction admin jobs listed.,
Heller Manus Architects,Find contacts,"San Francisco, California, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech construction admin jobs found on LinkedIn or careers page.,
Charles Vincent George Architects,Find contacts,"Naperville, Illinois, United States",Architecture & Planning,11-50,$10M-$25M,Yes - LinkedIn lists Owner's Rep. and project coordination services,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
"TRIA Architecture, Inc.",Find contacts,"Burr Ridge, Illinois, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech openings; no construction admin roles posted.,
Hartman Design Group,Find contacts,"Rockville, Maryland, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - Their services list includes “Construction Observation Services,” indicating CA.",Research with AI,None found,Research with AI,No current openings; careers page lists no jobs and LinkedIn shows none.,
BKA Architects,Find contacts,"Quincy, Massachusetts, United States",Architecture & Planning,11-50,$10M-$25M,Yes - job postings cite “Construction Administration” responsibilities and experience,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech roles found for BKA Architects.,
RB+B Architects,Find contacts,"Fort Collins, Colorado, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - Their news page notes a senior project manager overseeing construction administration for major school projects, indicating they provide CA.",Research with AI,"Yes – Adams 12 Five Star Schools v. Hord Coplan Macht/RB+B Architects LLC (filed Dec 2, 2025)",Research with AI,No current CA/QA/QC/technology job postings found for RB+B Architects.,
Naylor Wentworth Lund Architects,Find contacts,"Salt Lake City, Utah, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their services list includes “Construction Administration.”,Research with AI,None found,Research with AI,No CA/QA/QC/documentation tech roles; only architect roles listed.,
PSH+,Find contacts,"Richmond, Virginia, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – Construction Administrator (LinkedIn job, posted ~1 week before closing).",
FVHD Architects-Planners,Find contacts,"Trenton, New Jersey, United States",Architecture & Planning,11-50,$10M-$25M,Yes - They list “construction administration” as a core specialty and service.,Research with AI,None found,Research with AI,Yes. Construction Administrator – closing date 02/27/2026 (FVHD careers page).,
"THK Associates, Inc.",Find contacts,"Greenwood Village, Colorado, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their landscape services list includes “Construction Observation/Administration.”,Research with AI,None found,Research with AI,Yes – current openings include Administrative Assistant (posted ~Jan 2026) and Landscape Architect/Designer & Market Analyst roles (posted ~Nov–Dec /,
MAQE rendering,Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$1M-$10M,No,Research with AI,None found,Research with AI,Yes. Roles: Art Director; Post Production Artist; Senior 3D Artist; Junior 3D Artist (all remote). No CA/QA/QC/documentation roles.,
Truspace Design & Construction Firm,Find contacts,"Edmonton, Alberta, Canada",Architecture & Planning,11-50,$1M-$10M,"Yes - job description lists “Construction Administration” duties (site visits, meetings)",Research with AI,None found,Research with AI,No current construction admin/CA/QA/QC/tech job postings found.,
CSV Architects,Find contacts,"Ottawa, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - Their profile highlights “contract administration” as a core capability.,Research with AI,None found,Research with AI,No current construction admin-related openings found.,
Berger Partnership,Find contacts,"Seattle, Washington, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"No CA/QA/QC tech roles; only Project Manager/Landscape Architect and Summer Internship (listed on careers page, dates not shown).",
